location_id,process_id,date,poll,timezone,unit,source,value
2+26,station_day_mad,2019-01-06,pm25,Asia/Shanghai,µg/m3,mee,151.0335035941254
2+26,station_day_mad,2019-01-07,pm10,Asia/Shanghai,µg/m3,mee,149.34793752611301
2+26,station_day_mad,2019-01-07,pm25,Asia/Shanghai,µg/m3,mee,95.94041696543765
2+26,station_day_mad,2019-01-08,pm10,Asia/Shanghai,µg/m3,mee,101.6362930942261
2+26,station_day_mad,2019-01-08,pm25,Asia/Shanghai,µg/m3,mee,58.32771792521162
2+26,station_day_mad,2019-01-09,pm10,Asia/Shanghai,µg/m3,mee,162.57491309991576
2+26,station_day_mad,2019-01-09,pm25,Asia/Shanghai,µg/m3,mee,118.02207037803558
2+26,station_day_mad,2019-01-10,pm10,Asia/Shanghai,µg/m3,mee,233.57974221039083
2+26,station_day_mad,2019-01-10,pm25,Asia/Shanghai,µg/m3,mee,183.321528210686
2+26,station_day_mad,2019-01-11,pm10,Asia/Shanghai,µg/m3,mee,267.00341077696237
2+26,station_day_mad,2019-01-11,pm25,Asia/Shanghai,µg/m3,mee,213.84401606751265
2+26,station_day_mad,2019-01-12,pm10,Asia/Shanghai,µg/m3,mee,257.3657601139866
2+26,station_day_mad,2019-01-12,pm25,Asia/Shanghai,µg/m3,mee,191.66961950293953
2+26,station_day_mad,2019-01-13,pm10,Asia/Shanghai,µg/m3,mee,277.4611444123323
2+26,station_day_mad,2019-01-13,pm25,Asia/Shanghai,µg/m3,mee,198.9381841051638
2+26,station_day_mad,2019-01-14,pm10,Asia/Shanghai,µg/m3,mee,144.52976794620145
2+26,station_day_mad,2019-01-14,pm25,Asia/Shanghai,µg/m3,mee,47.40375148416797
2+26,station_day_mad,2019-01-15,pm10,Asia/Shanghai,µg/m3,mee,108.65979345178367
2+26,station_day_mad,2019-01-15,pm25,Asia/Shanghai,µg/m3,mee,43.90375981732406
2+26,station_day_mad,2019-01-16,pm10,Asia/Shanghai,µg/m3,mee,127.91101021943518
2+26,station_day_mad,2019-01-16,pm25,Asia/Shanghai,µg/m3,mee,66.56795300161879
2+26,station_day_mad,2019-01-17,pm10,Asia/Shanghai,µg/m3,mee,170.47985124236976
2+26,station_day_mad,2019-01-17,pm25,Asia/Shanghai,µg/m3,mee,102.2770287789789
2+26,station_day_mad,2019-01-18,pm10,Asia/Shanghai,µg/m3,mee,153.6703703642299
2+26,station_day_mad,2019-01-18,pm25,Asia/Shanghai,µg/m3,mee,100.07234841291935
2+26,station_day_mad,2019-01-19,pm10,Asia/Shanghai,µg/m3,mee,108.04320325063317
2+26,station_day_mad,2019-01-19,pm25,Asia/Shanghai,µg/m3,mee,61.763813232803
2+26,station_day_mad,2019-01-20,pm10,Asia/Shanghai,µg/m3,mee,103.37960174318323
2+26,station_day_mad,2019-01-20,pm25,Asia/Shanghai,µg/m3,mee,49.960811335403726
2+26,station_day_mad,2019-01-21,pm10,Asia/Shanghai,µg/m3,mee,110.81276715625074
2+26,station_day_mad,2019-01-21,pm25,Asia/Shanghai,µg/m3,mee,57.600195159980885
2+26,station_day_mad,2019-01-22,pm10,Asia/Shanghai,µg/m3,mee,125.37290882633845
2+26,station_day_mad,2019-01-22,pm25,Asia/Shanghai,µg/m3,mee,70.186637265468
2+26,station_day_mad,2019-01-23,pm10,Asia/Shanghai,µg/m3,mee,160.1054846766419
2+26,station_day_mad,2019-01-23,pm25,Asia/Shanghai,µg/m3,mee,102.30312072788485
2+26,station_day_mad,2019-01-24,pm10,Asia/Shanghai,µg/m3,mee,109.87278619895515
2+26,station_day_mad,2019-01-24,pm25,Asia/Shanghai,µg/m3,mee,63.01534361204333
2+26,station_day_mad,2019-01-25,pm10,Asia/Shanghai,µg/m3,mee,99.41687867866612
2+26,station_day_mad,2019-01-25,pm25,Asia/Shanghai,µg/m3,mee,58.518857611933505
2+26,station_day_mad,2019-01-26,pm10,Asia/Shanghai,µg/m3,mee,146.81926136218408
2+26,station_day_mad,2019-01-26,pm25,Asia/Shanghai,µg/m3,mee,92.4389936101416
2+26,station_day_mad,2019-01-27,pm10,Asia/Shanghai,µg/m3,mee,134.75562102958665
2+26,station_day_mad,2019-01-27,pm25,Asia/Shanghai,µg/m3,mee,80.66096069853563
2+26,station_day_mad,2019-01-28,pm10,Asia/Shanghai,µg/m3,mee,181.43334797201857
2+26,station_day_mad,2019-01-28,pm25,Asia/Shanghai,µg/m3,mee,119.98992271828828
2+26,station_day_mad,2019-01-29,pm10,Asia/Shanghai,µg/m3,mee,189.41267180308313
2+26,station_day_mad,2019-01-29,pm25,Asia/Shanghai,µg/m3,mee,116.96098600940452
2+26,station_day_mad,2019-01-30,pm10,Asia/Shanghai,µg/m3,mee,75.5918140900812
2+26,station_day_mad,2019-01-30,pm25,Asia/Shanghai,µg/m3,mee,31.869259701604733
2+26,station_day_mad,2019-01-31,pm10,Asia/Shanghai,µg/m3,mee,102.1095339864328
2+26,station_day_mad,2019-01-31,pm25,Asia/Shanghai,µg/m3,mee,55.25787770147585
2+26,station_day_mad,2019-02-01,pm10,Asia/Shanghai,µg/m3,mee,136.3412498056885
2+26,station_day_mad,2019-02-01,pm25,Asia/Shanghai,µg/m3,mee,99.68413628696052
2+26,station_day_mad,2019-02-02,pm10,Asia/Shanghai,µg/m3,mee,186.68214493057263
2+26,station_day_mad,2019-02-02,pm25,Asia/Shanghai,µg/m3,mee,96.78759338767752
2+26,station_day_mad,2019-02-03,pm10,Asia/Shanghai,µg/m3,mee,161.4635063758705
2+26,station_day_mad,2019-02-03,pm25,Asia/Shanghai,µg/m3,mee,75.9481670983871
2+26,station_day_mad,2019-02-04,pm10,Asia/Shanghai,µg/m3,mee,235.43188638974937
2+26,station_day_mad,2019-02-04,pm25,Asia/Shanghai,µg/m3,mee,149.72604794533484
2+26,station_day_mad,2019-02-05,pm10,Asia/Shanghai,µg/m3,mee,184.77855760816394
2+26,station_day_mad,2019-02-05,pm25,Asia/Shanghai,µg/m3,mee,122.29349521429126
2+26,station_day_mad,2019-02-06,pm10,Asia/Shanghai,µg/m3,mee,78.87954665032923
2+26,station_day_mad,2019-02-06,pm25,Asia/Shanghai,µg/m3,mee,40.85033897283169
2+26,station_day_mad,2019-02-07,pm10,Asia/Shanghai,µg/m3,mee,68.29079627569078
2+26,station_day_mad,2019-02-07,pm25,Asia/Shanghai,µg/m3,mee,39.96210287474673
